Post URL,User,Author Name,Likes,Views,Shares,Comments,Comments Data,Caption,HashTags,Music,Date Posted,Date Collected
https://www.tiktok.com/@breebilliter/7064286394025348398,breebilliter,Bree Billiter,4900000,22400000,4824,5980,"['Literally made with lots of love🥰', 'Dedication 🥲']",The making of the burn book dress ,#nyfw #fashionweek #tiktokfashionmonth #meangirls #reginageorge #burnbook #myart @nyfw @artheartsfashion,Bomb Intro / Pass That Dutch,2022-02-14 01:29:09,2023-11-19 01:19:23.763535
https://www.tiktok.com/@overtime/7154028291324693802,overtime,Overtime,4800000,51100000,40200,25600,"['people saying ""oooooh"" makes it more embarrasing and worse', 'those must be the fall collections']",I mean at least they weren’t the only one 😭 (h/t tobiasgoon/ig) ,#fashionweek #falling #shoutoutot ,original sound,2022-10-13 21:33:59,2023-11-19 01:19:25.585798
https://www.tiktok.com/@taylortiminskas/7194931594484845870,taylortiminskas,Taylor Timinskas,4100000,24400000,24500,12900,"['Oh I actually wasn’t finished with-', 'She definitely ate but so did in fact, leave crumbs, and cutlery']",(di)vision show at copenhagen fashion literally left no crumbs ,#fashionweek ,original sound,2023-02-01 02:59:20,2023-11-19 01:19:27.406406
https://www.tiktok.com/@thefashioncouple/6924760566653357317,thefashioncouple,THEFASHIONCOUPLE,4100000,23100000,26900,15800,"['Oh yesss😫😍', 'Give meh save plsss']",Which show did we kill? Hats by @thebuckshat ,#fy #fashionshow #styleinspiration #foryou #viral #prada #versace #trending #frontrowtiktok #style,Originalton,2021-02-03 01:37:50,2023-11-19 01:19:28.957723
https://www.tiktok.com/@i_d/7149868321041599749,i_d,i-D,3900000,49700000,104200,65000,"['FASHION IS GETTING FUN AGAINNNNNNN', 'WHY DO THEY WALK LIKE THAT']",Somebody think of the shoes! 🫣 ,#balenciaga #mudpit #pfw #fashionweek #tiktokfashion #fashionforyou #fyp ,original sound,2022-10-02 16:30:50,2023-11-19 01:19:30.919302
https://www.tiktok.com/@ninacelested/7211978773518896426,ninacelested,nina,3800000,32300000,2758,3830,"['zendaya is me when i’m trying to make normal conversation and it’s just not working. then i just be quiet', 'she def said dis im deadd😭']",,#duet with @voguemagazine I ♥️ her #zendaya #lipreading #lipreadinggirl #lipreader #celebrities #emmastone #lipreadingcelebrities #parisfashionweek #fashionweek ,original sound,2023-03-19 01:31:11,2023-11-19 01:19:32.755508
https://www.tiktok.com/@studnioo/7143225802061057285,studnioo,Ondřej Studnick,3600000,28000000,14100,7672,"['What brand should i do next ?', 'ralph lauren is one of the old money brand i wound buy']",Replying to @Vincent Huynh Ralph Lauren>>> ,#ralph #lauren #ralphlauren #polo #fyp #foryou #foryoupage #fashio #fashion #fashiontiktok #fashioninspo #fashionweek #fashiontok,sweet caroline but dark academia,2022-09-14 18:54:28,2023-11-19 01:19:45.845494
https://www.tiktok.com/@brothaxolotls/7150344415138123013,brothaxolotls,Brothaxolotls,3300000,27700000,31700,21300,"['Say it with me- sharpie comes off glass', 'Literally got a red dress on tonight but y’all worried about the sharpie']",Red dress ❤️‍🔥 ,#fyp #foryou #pourtoi #fashionweek #axolotl #viral #petsoftiktok #animalsoftiktok #minecraft #roblox #reddress #lanadelrey #xyzbca ,Originalton,2022-10-03 23:18:19,2023-11-19 01:19:47.676974
https://www.tiktok.com/@ohpolly/7201922982598528262,ohpolly,Oh Polly,3100000,26700000,13700,3465,"['What’s the name of this dress??!!', 'does the body come with the dress 😫']",Show stopping dresses>> ,#fyp #ohpolly #runway #fashionweek #maxidress #itgirl ,som original,2023-02-19 23:09:28,2023-11-19 01:19:49.580812
https://www.tiktok.com/@greti__molnar/7147081026446134534,greti__molnar,Molnár Gréti,3100000,34100000,44500,15900,"['He’s a beautiful beautiful man lol', 'I want to know what he smells like 🥵']",@michelemorrone at the Dolce&Gabbana Fashion Show in Milan👀 ,#foryou #milan #fwm #fashionweek #dolcegabbana #fypシ #michelemorrone ,I See Red,2022-09-25 04:14:41,2023-11-19 01:19:51.332463
